"Key","SourceString"
"Customization.Preset.DesignerCurrentName","Рабочий 01"
"menu_title","АВАРИЙКА"
"menu_subtitle","аварийная бригада"
"menu_host","Создать игру"
"menu_find","Найти игру"
"menu_settings","Настройки"
"menu_quit","Выход"
"menu_browse_header","Поиск игр в сети"
"menu_searching","Поиск..."
"menu_no_games","Игр не найдено"
"menu_game_prefix","Игра "
"menu_join_suffix","   [Подключиться]"
"menu_refresh","Обновить"
"menu_back","Назад"
"menu_hint","v0.1 — кооп LAN/EOS"
"ui_001","ПАУЗА"
"ui_002","Продолжить"
"ui_003","Настройки"
"ui_004","Выйти в меню"
"ui_005","СНАРЯЖЕНИЕ — склад бригады"
"ui_006","Касса конторы"
"ui_007","ур."
"ui_008","МАКС"
"ui_009","Покупка: AvUpgrade <англ. название>.   Закрыть: AvShop"
"ui_010","ГЛАЗА! Нужна сварочная маска"
"ui_011","БРОСОК заряжен — отпусти G"
"ui_012","Зарядка броска... (отпусти G)"
"ui_013","КАМЕРЫ БРИГАДЫ — [Tab] закрыть"
"ui_014","Монтёр"
"ui_015"," (вы)"
"ui_016"," — БЕЗ СОЗНАНИЯ"
"ui_017"," — ИСТЕКАЕТ "
"ui_018","с"
"ui_019","Здоровье"
"ui_020","Выносливость"
"ui_021","Паника"
"ui_022","Туалет"
"ui_023","Амбре"
"ui_024","Шум"
"ui_025","Фонарь [F] вкл"
"ui_026","Фонарь [F]"
"ui_027","ГАЗ — ОПАСНО!"
"ui_028","Газоанализатор: газ"
"ui_029","Газоанализатор: чисто"
"ui_030","ЗАДАЧИ"
"ui_031","Всё починено — вся бригада к ГАЗели!"
"ui_032","БЕЗ СОЗНАНИЯ — только напарник поднимет вас аптечкой"
"ui_033","ВЫ РАНЕНЫ — отруб через "
"ui_034"," с. Ползите к команде / нужна аптечка"
"ui_035","Процесс... осталось"
"ui_036","[E] — жми в зелёной (или жёлтой) зоне!  [G] — встать"
"ui_037","[E] — докручивай РАЗМЕРЕННО: зелёная полоска = можно. Частить = срыв резьбы!  [G] — отойти"
"ui_038","Тяни шнур... отпусти E в ЗЕЛЁНОМ окне! Перетянешь — ударит.  [G] — отойти"
"ui_039","[E] (держать) — дёрнуть стартер. Нужно 3 удачных рывка.  [G] — отойти"
"ui_040","[E] — жми в зелёной! Промах бьёт током, 3 промаха — замыкание.  [G] — отойти"
"ui_041","[E] — жми в зелёной! Промах — откат прогресса."
"ui_042","[E] Собрать ящик инструмента"
"ui_043","Биотуалет: ЗАНЯТО"
"ui_044","[E] Облегчиться (мини-игра, не двигаться)"
"ui_045","Биотуалет: пока не хочется"
"ui_046","Поставьте тяжёлое (G), чтобы тащить раненого"
"ui_047","[E] Тащить раненого"
"ui_048","Передаёте: "
"ui_049"," — тиммейт может забрать [E]"
"ui_050","[ЛКМ] Распылять (держать)  •  [ПКМ] Передать"
"ui_051","[ЛКМ] Выключить рацию — она шумит!"
"ui_052","[ЛКМ] Включить рацию  •  [ПКМ] Передать"
"ui_053","[ЛКМ] Поставить растяжку (взведётся через пару секунд!)  •  [ПКМ] Передать"
"ui_054","[ЛКМ] Метнуть комок (осторожно — зацепишь своих!)  •  [ПКМ] Передать"
"ui_055","[ЛКМ] Поставить прожектор (светит и успокаивает, но гудит)  •  [ПКМ] Передать"
"ui_056","[ЛКМ] Применить (держать)  •  [ПКМ] Передать"
"ui_057","[ПКМ] Передать (держать)"
"ui_058","ВКЛ"
"ui_059"," [ВКЛ]"
"ui_060","Нет"
"ui_061","Пусто"
"ui_062","Тяж"
"ui_063","БЕЗ СОЗНАНИЯ"
"ui_064","Ранен"
"ui_065","Курит"
"ui_066","Паникует"
"ui_067","Хочет в туалет"
"ui_068","Устал"
"ui_069","Несёт тяжёлое"
"ui_070","Тащит раненого ([E] отпустить)"
"ui_071","Вас тащат"
"ui_072","Санитарный инцидент!"
"ui_073","Испачкан"
"ui_074","Промок"
"ui_075","ГОРИТ! [вода/огнетушитель]"
"ui_076","Воняет"
"ui_077","ПАХНЕТ ГАЗОМ — НЕ КУРИТЬ!"
"Customization.Tab.Character","ПЕРСОНАЖ"
"Customization.Tab.Wardrobe","ГАРДЕРОБ"
"Customization.Tab.Equipment","СНАРЯЖЕНИЕ"
"Customization.Category.MyCharacters","МОИ ПЕРСОНАЖИ"
"Customization.Category.Presets","ПРЕСЕТЫ"
"Customization.Category.Head","ГОЛОВА"
"Customization.Category.FaceProtection","ЛИЦО И ЗАЩИТА"
"Customization.Category.HandsAccessories","РУКИ И АКСЕССУАРЫ"
"Customization.Category.UpperEquipment","ВЕРХ И СНАРЯЖЕНИЕ"
"Customization.Category.LowerHip","НИЗ И НАБЕДРЕННОЕ"
"Customization.Category.FullOutfits","ЦЕЛЬНЫЕ КОМПЛЕКТЫ"
"Customization.Preview.Title","ПРЕДПРОСМОТР ПЕРСОНАЖА"
"Customization.Preview.LegacyTitle","ПРЕДПРОСМОТР"
"Customization.Preview.Placeholder","3D-ПРЕДПРОСМОТР БУДЕТ ПОДКЛЮЧЁН ПОЗЖЕ"
"Customization.Action.Random","СЛУЧАЙНЫЙ ВНЕШНИЙ ВИД"
"Customization.Action.AddCharacter","ДОБАВИТЬ ПЕРСОНАЖА"
"Customization.Action.Reset","СБРОСИТЬ"
"Customization.Action.Delete","УДАЛИТЬ"
"Customization.Action.Apply","ПРИМЕНИТЬ"
"Customization.Action.ApplyPreset","ПРИМЕНИТЬ ПРЕСЕТ"
"Customization.Action.Cancel","ОТМЕНА"
"Customization.Action.Create","СОЗДАТЬ"
"Customization.Action.Rename","ПЕРЕИМЕНОВАТЬ"
"Customization.Action.Close","ЗАКРЫТЬ"
"Customization.Action.Back","НАЗАД"
"Customization.Action.SaveCharacter","СОХРАНИТЬ ПЕРСОНАЖА"
"Customization.Action.RemoveAndEquip","СНЯТЬ И НАДЕТЬ"
"Customization.Common.None","НЕТ"
"Customization.Common.CurrentSelection","ТЕКУЩИЙ ВЫБОР:"
"Customization.Common.CurrentSelectionFormat","{0} {1}"
"Customization.Common.NoAvailableOptions","НЕТ ДОСТУПНЫХ ВАРИАНТОВ"
"Customization.Common.UnavailableOption","НЕДОСТУПНЫЙ ВАРИАНТ"
"Customization.Common.NoData","Нет данных"
"Customization.Common.Selected","ВЫБРАНО"
"Customization.Common.PageCounterFormat","{0} / {1}"
"Customization.Character.DefaultNameFormat","РАБОЧИЙ {0}"
"Customization.Character.DesignerPlaceholder","Персонаж 01"
"Customization.Character.ActiveNotFound","АКТИВНЫЙ ПЕРСОНАЖ НЕ НАЙДЕН"
"Customization.Character.DeleteLastBlocked","НЕЛЬЗЯ УДАЛИТЬ ЕДИНСТВЕННОГО ПЕРСОНАЖА"
"Customization.Character.ResetTooltip","СБРОСИТЬ ВНЕШНОСТЬ АКТИВНОГО ПЕРСОНАЖА"
"Customization.Character.DeleteTooltip","УДАЛИТЬ АКТИВНОГО ПЕРСОНАЖА"
"Customization.Preset.Title","ПРЕСЕТ РАБОЧЕГО"
"Customization.Preset.NameFormat","Рабочий {0}"
"Customization.Preset.CurrentLoadout","ТЕКУЩИЙ КОМПЛЕКТ"
"Customization.Preset.Loadout.Head","Голова:"
"Customization.Preset.Loadout.Face","Лицо:"
"Customization.Preset.Loadout.Upper","Верх:"
"Customization.Preset.Loadout.Hands","Руки:"
"Customization.Preset.Loadout.Lower","Низ:"
"Customization.Preset.Sample.Head","Каска"
"Customization.Preset.Sample.Face","Очки"
"Customization.Preset.Sample.Upper","Футболка с жилеткой"
"Customization.Preset.Sample.Hands","Перчатки, часы"
"Customization.Preset.Sample.Lower","Штаны"
"Customization.Section.HeadType","ТИП ГОЛОВЫ"
"Customization.Section.Headgear","ГОЛОВНОЙ УБОР"
"Customization.Section.Hair","ВОЛОСЫ"
"Customization.Section.Beard","БОРОДА"
"Customization.Section.Glasses","ОЧКИ"
"Customization.Section.Respirator","РЕСПИРАТОР"
"Customization.Section.Headphones","НАУШНИКИ"
"Customization.Section.Gloves","ПЕРЧАТКИ"
"Customization.Section.Watches","ЧАСЫ"
"Customization.Section.Legs","ШТАНЫ"
"Customization.Section.HipAccessory","НАБЕДРЕННОЕ"
"Customization.Section.Torso","ВЕРХ"
"Customization.Section.Body","ТЕЛО"
"Customization.Section.Feet","ОБУВЬ"
"Customization.Section.Vest","ЖИЛЕТ"
"Customization.Section.FullOutfit","ЦЕЛЬНЫЙ КОМПЛЕКТ"
"Customization.Section.Overalls","РАБОЧИЙ КОМБИНЕЗОН"
"Customization.Section.Helmet","КАСКА"
"Customization.Section.Mask","МАСКА"
"Customization.Modal.DoNotShowAgain","БОЛЬШЕ НЕ ПОКАЗЫВАТЬ ЭТО ПРЕДУПРЕЖДЕНИЕ"
"Customization.Modal.Reset.Title","СБРОСИТЬ ВНЕШНОСТЬ"
"Customization.Modal.Reset.Body","Вернуть внешность выбранного персонажа к заводскому состоянию?"
"Customization.Modal.Reset.Warning","Текущая настройка внешности будет потеряна."
"Customization.Modal.Delete.Title","УДАЛИТЬ ПЕРСОНАЖА"
"Customization.Modal.Delete.Body","Удалить выбранного персонажа?"
